"FileName"	"Label"	"condition"	"element"	"material"	"control.type"	"dose"	"duration"	"replica"
"GSM1708858_Cu-Nwires_EC50_3d_1.txt"	"Cu.Cu.Nwires.EC50.3d.1"	"Cu.Cu.Nwires.EC50.3d"	"Cu"	"Cu.Nwires"	NA	"EC50"	3	1
"GSM1708859_Cu-Nwires_EC50_3d_2.txt"	"Cu.Cu.Nwires.EC50.3d.2"	"Cu.Cu.Nwires.EC50.3d"	"Cu"	"Cu.Nwires"	NA	"EC50"	3	2
"GSM1708860_Cu-Nwires_EC50_3d_3.txt"	"Cu.Cu.Nwires.EC50.3d.3"	"Cu.Cu.Nwires.EC50.3d"	"Cu"	"Cu.Nwires"	NA	"EC50"	3	3
"GSM1708861_Cu-field_EC20_3d_1.txt"	"Cu.Cu.field.EC20.3d.1"	"Cu.Cu.field.EC20.3d"	"Cu"	"Cu.field"	NA	"EC20"	3	1
"GSM1708862_Cu-field_EC20_3d_2.txt"	"Cu.Cu.field.EC20.3d.2"	"Cu.Cu.field.EC20.3d"	"Cu"	"Cu.field"	NA	"EC20"	3	2
"GSM1708863_Cu-field_EC20_3d_3.txt"	"Cu.Cu.field.EC20.3d.3"	"Cu.Cu.field.EC20.3d"	"Cu"	"Cu.field"	NA	"EC20"	3	3
"GSM1708864_Cu-field_EC50_3d_1.txt"	"Cu.Cu.field.EC50.3d.1"	"Cu.Cu.field.EC50.3d"	"Cu"	"Cu.field"	NA	"EC50"	3	1
"GSM1708865_Cu-field_EC50_3d_2.txt"	"Cu.Cu.field.EC50.3d.2"	"Cu.Cu.field.EC50.3d"	"Cu"	"Cu.field"	NA	"EC50"	3	2
"GSM1708866_Cu-field_EC50_3d_3.txt"	"Cu.Cu.field.EC50.3d.3"	"Cu.Cu.field.EC50.3d"	"Cu"	"Cu.field"	NA	"EC50"	3	3
"GSM1708867_CTCu_7d_1.txt"	"Cu.CT.7d.1"	"Cu.CT.7d"	"Cu"	NA	"CT"	NA	7	1
"GSM1708868_CTCu_7d_2.txt"	"Cu.CT.7d.2"	"Cu.CT.7d"	"Cu"	NA	"CT"	NA	7	2
"GSM1708869_CTCu_7d_3.txt"	"Cu.CT.7d.3"	"Cu.CT.7d"	"Cu"	NA	"CT"	NA	7	3
"GSM1708870_CuNO3_EC20_7d_1.txt"	"Cu.CuNO3.EC20.7d.1"	"Cu.CuNO3.EC20.7d"	"Cu"	"CuNO3"	NA	"EC20"	7	1
"GSM1708871_CuNO3_EC20_7d_2.txt"	"Cu.CuNO3.EC20.7d.2"	"Cu.CuNO3.EC20.7d"	"Cu"	"CuNO3"	NA	"EC20"	7	2
"GSM1708872_CuNO3_EC20_7d_3.txt"	"Cu.CuNO3.EC20.7d.3"	"Cu.CuNO3.EC20.7d"	"Cu"	"CuNO3"	NA	"EC20"	7	3
"GSM1708873_CuNO3_EC50_7d_1.txt"	"Cu.CuNO3.EC50.7d.1"	"Cu.CuNO3.EC50.7d"	"Cu"	"CuNO3"	NA	"EC50"	7	1
"GSM1708874_CuNO3_EC50_7d_2.txt"	"Cu.CuNO3.EC50.7d.2"	"Cu.CuNO3.EC50.7d"	"Cu"	"CuNO3"	NA	"EC50"	7	2
"GSM1708875_CuNO3_EC50_7d_3.txt"	"Cu.CuNO3.EC50.7d.3"	"Cu.CuNO3.EC50.7d"	"Cu"	"CuNO3"	NA	"EC50"	7	3
"GSM1708876_Cu-NPs_EC20_7d_1.txt"	"Cu.Cu.NPs.EC20.7d.1"	"Cu.Cu.NPs.EC20.7d"	"Cu"	"Cu.NPs"	NA	"EC20"	7	1
"GSM1708877_Cu-NPs_EC20_7d_2.txt"	"Cu.Cu.NPs.EC20.7d.2"	"Cu.Cu.NPs.EC20.7d"	"Cu"	"Cu.NPs"	NA	"EC20"	7	2
"GSM1708878_Cu-NPs_EC20_7d_3.txt"	"Cu.Cu.NPs.EC20.7d.3"	"Cu.Cu.NPs.EC20.7d"	"Cu"	"Cu.NPs"	NA	"EC20"	7	3
"GSM1708879_Cu-NPs_EC50_7d_1.txt"	"Cu.Cu.NPs.EC50.7d.1"	"Cu.Cu.NPs.EC50.7d"	"Cu"	"Cu.NPs"	NA	"EC50"	7	1
"GSM1708880_Cu-NPs_EC50_7d_2.txt"	"Cu.Cu.NPs.EC50.7d.2"	"Cu.Cu.NPs.EC50.7d"	"Cu"	"Cu.NPs"	NA	"EC50"	7	2
"GSM1708881_Cu-NPs_EC50_7d_3.txt"	"Cu.Cu.NPs.EC50.7d.3"	"Cu.Cu.NPs.EC50.7d"	"Cu"	"Cu.NPs"	NA	"EC50"	7	3
"GSM1708882_Cu-Nwires_EC20_7d_1.txt"	"Cu.Cu.Nwires.EC20.7d.1"	"Cu.Cu.Nwires.EC20.7d"	"Cu"	"Cu.Nwires"	NA	"EC20"	7	1
"GSM1708883_Cu-Nwires_EC20_7d_2.txt"	"Cu.Cu.Nwires.EC20.7d.2"	"Cu.Cu.Nwires.EC20.7d"	"Cu"	"Cu.Nwires"	NA	"EC20"	7	2
"GSM1708884_Cu-Nwires_EC20_7d_3.txt"	"Cu.Cu.Nwires.EC20.7d.3"	"Cu.Cu.Nwires.EC20.7d"	"Cu"	"Cu.Nwires"	NA	"EC20"	7	3
"GSM1708885_Cu-Nwires_EC50_7d_1.txt"	"Cu.Cu.Nwires.EC50.7d.1"	"Cu.Cu.Nwires.EC50.7d"	"Cu"	"Cu.Nwires"	NA	"EC50"	7	1
"GSM1708886_Cu-Nwires_EC50_7d_2.txt"	"Cu.Cu.Nwires.EC50.7d.2"	"Cu.Cu.Nwires.EC50.7d"	"Cu"	"Cu.Nwires"	NA	"EC50"	7	2
"GSM1708887_Cu-Nwires_EC50_7d_3.txt"	"Cu.Cu.Nwires.EC50.7d.3"	"Cu.Cu.Nwires.EC50.7d"	"Cu"	"Cu.Nwires"	NA	"EC50"	7	3
"GSM1708888_Cu-field_EC20_7d_1.txt"	"Cu.Cu.field.EC20.7d.1"	"Cu.Cu.field.EC20.7d"	"Cu"	"Cu.field"	NA	"EC20"	7	1
"GSM1708889_Cu-field_EC20_7d_2.txt"	"Cu.Cu.field.EC20.7d.2"	"Cu.Cu.field.EC20.7d"	"Cu"	"Cu.field"	NA	"EC20"	7	2
"GSM1708890_Cu-field_EC20_7d_3.txt"	"Cu.Cu.field.EC20.7d.3"	"Cu.Cu.field.EC20.7d"	"Cu"	"Cu.field"	NA	"EC20"	7	3
"GSM1708891_Cu-field_EC50_7d_1.txt"	"Cu.Cu.field.EC50.7d.1"	"Cu.Cu.field.EC50.7d"	"Cu"	"Cu.field"	NA	"EC50"	7	1
"GSM1708892_Cu-field_EC50_7d_2.txt"	"Cu.Cu.field.EC50.7d.2"	"Cu.Cu.field.EC50.7d"	"Cu"	"Cu.field"	NA	"EC50"	7	2
"GSM1708893_Cu-field_EC50_7d_3.txt"	"Cu.Cu.field.EC50.7d.3"	"Cu.Cu.field.EC50.7d"	"Cu"	"Cu.field"	NA	"EC50"	7	3
"GSM1708894_CTNi_3d_1.txt"	"Ni.CT.3d.1"	"Ni.CT.3d"	"Ni"	NA	"CT"	NA	3	1
"GSM1708895_CTNi_3d_2.txt"	"Ni.CT.3d.2"	"Ni.CT.3d"	"Ni"	NA	"CT"	NA	3	2
"GSM1708896_CTNi_3d_3.txt"	"Ni.CT.3d.3"	"Ni.CT.3d"	"Ni"	NA	"CT"	NA	3	3
